window_idx,start_sample,t_start_sec,label,f1_hz,p1_db,f2_hz,p2_db,f3_hz,p3_db
0,0,0.0,0,24.0,12.795228452016909,40.5,11.961252079079635,45.0,11.43104794096223
1,2000,2.0,0,25.5,27.72103778394794,6.5,27.326205009901,21.5,27.10167193718167
2,4000,4.0,0,19.5,14.660081777939649,14.0,12.00743041048359,10.5,11.459605959826497
3,6000,6.0,1,19.5,38.28180508852237,13.0,34.19752198419007,6.0,28.94766384618907
4,8000,8.0,1,6.5,33.49812559759717,5.5,33.09278232678842,3.5,31.344563888364743
5,10000,10.0,1,3.0,43.909190959036785,1.5,43.01241224361319,5.0,41.4442281430449
6,12000,12.0,0,23.0,28.754255397960165,5.5,21.160976241750305,16.0,20.37656973291955
7,14000,14.0,1,1.5,48.75380115154697,3.0,48.150917504768906,18.5,40.578617788731734
8,16000,16.0,0,21.5,29.53625927689342,12.5,29.0954067077339,11.5,28.479652856590377
9,18000,18.0,0,25.0,25.24618286497846,24.0,25.156102824920097,18.5,24.600366811598057
10,20000,20.0,0,36.5,11.888943957226456,49.0,11.576202444077877,47.5,10.97864964279789
11,22000,22.0,0,6.5,11.575004524819091,5.5,10.588615794723852,8.5,7.437424971320385
